	US10063773_254606410403_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606411109_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_2 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410403_S01_miRNA_107_Sep09_2_3 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_4 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_4 - 1
hsa-miR-10b-5p	NA	0.459	2.222	0.829	3.863	3.428	3.131	2.942	2.583	1.32	1.976	2.21	3.015	3.358	3.367	2.197	3.387	2.976	2.141	2.749	1.897	3.673	NA	3.254	2.988	3.963	2.712	2.068
hsa-miR-6722-3p	2.068	1.938	NA	1.659	0.792	2.624	2.393	1.467	2.271	0.982	2.321	NA	NA	NA	NA	2.087	2.031	2.287	1.788	NA	1.725	1.397	2.905	1.694	2.044	2.126	NA	2.443
hsa-miR-4707-5p	0.965	0.945	NA	1.737	-0.129	NA	NA	1.737	1.671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-3907	5.136	4.64	4.849	4.176	4.995	2.182	5.352	3.707	3.98	4.277	5.082	5.122	5.251	5.746	4.484	4.515	4.323	5.217	4.849	5.746	5.229	5.681	6.443	5.335	4.98	4.763	4.543	5.153
hsa-miR-4430	3.267	3.131	3.517	3.567	2.505	3.622	3.177	3.903	3.762	3.205	3.22	3.143	3.241	3.233	3.963	3.663	3.205	3.131	3.777	3.015	3.416	3.048	2.804	3.459	3.89	3.577	3.697	3.599
hsa-miR-132-3p	3.155	3.731	4.167	2.954	4.774	4.306	4.434	4.019	3.928	1.512	3.428	4.008	4.199	2.792	2.834	2.823	3.928	3.376	4.253	2.823	2.068	2.792	NA	2.954	2.538	2.905	2.834	3.416
hsa-miR-4324	0.337	1.709	2.638	0.463	3.233	2.976	3.107	2.999	2.164	1.725	2.723	2.256	2.914	3.22	3.622	2.669	3.731	3.345	2.375	2.964	2.336	2.823	2.87	3.471	3.449	3.542	3.195	2.57
hsa-miR-4636	NA	NA	NA	1.603	-0.536	NA	NA	NA	NA	1.21	NA	NA	1.818	0.684	2.557	NA	NA	NA	NA	NA	1.659	1.023	NA	NA	NA	NA	NA	NA
hsa-miR-548q	3.588	3.166	NA	3.876	1.512	NA	NA	NA	2.844	0.356	1.32	2.222	NA	1.806	NA	1.113	NA	NA	NA	NA	2.669	2.999	NA	NA	NA	2.245	NA	NA
hsa-miR-4506	NA	2.087	1.951	0.845	1.85	NA	NA	NA	NA	NA	NA	NA	2.57	2.882	2.988	NA	2.044	NA	NA	NA	NA	2.087	NA	NA	NA	2.087	NA	NA
hsa-miR-4656	3.309	2.583	2.844	3.531	2.57	4.668	2.197	3.416	3.177	4.448	2.804	2.519	2.964	2.256	3.195	4.464	2.683	2.654	2.443	3.3	2.359	2.245	2.954	2.823	3.331	2.712	2.954	3.06
hsa-miR-371b-5p	5.746	5.051	4.397	6.02	4.033	3.721	3.755	4.045	4.187	3.917	4.553	4.763	4.008	4.141	4.356	4.6	3.622	3.438	4.167	4.701	4.654	4.464	4.543	4.484	3.684	4.277	3.928	3.952
hsa-miR-1185-2-3p	3.254	3.086	NA	3.166	1.497	NA	2.505	NA	2.988	2.21	3.086	2.894	NA	1.694	NA	2.734	NA	2.557	1.709	NA	1.527	2.271	NA	1.187	NA	1.976	NA	2.112
hsa-miR-23a-3p	8.017	8.4	8.243	8.198	9.13	8.858	8.648	8.716	8.439	7.818	7.961	8.243	8.679	8.309	8.4	8.163	8.597	8.163	8.309	7.987	8.096	8.597	7.773	8.4	8.163	8.528	8.057	7.773
hsa-miR-3659	3.131	2.712	3.06	2.287	2.638	NA	3.509	1.142	2.894	3.037	3.29	3.025	3.119	3.367	3.037	2.844	2.697	3.166	2.914	3.641	2.734	2.87	3.788	2.804	3.428	2.538	1.897	3.404
hsa-miR-601	3.177	3.3	1.615	3.025	2.197	NA	2.164	0.997	3.963	3.394	3.073	3.037	2.197	2.21	2.087	3.143	0.965	1.659	1.864	2.57	2.844	2.723	NA	0.845	NA	2.141	NA	1.603
hsa-miR-1268a	6.719	6.339	5.846	6.443	6.02	6.064	6.175	6.041	6.633	5.773	6.175	6.064	5.708	5.406	6.119	6.466	5.681	5.891	6.138	5.891	6.088	6.005	6.803	6.064	6.32	6.064	6.203	6.294
hsa-miR-921	NA	-0.309	NA	1.527	-0.293	NA	NA	1.603	0.684	2.519	1.05	NA	1.85	0.411	2.164	1.558	1.258	1.427	1.497	NA	0.726	0.237	2.505	1.467	1.938	0.37	1.864	2.345
hsa-miR-4776-5p	3.471	4.073	3.8	3.731	4.339	NA	3.721	3.8	3.107	3.554	4.045	4.13	4.654	4.654	4.176	3.086	3.497	3.3	3.834	4.099	3.825	4.292	3.567	3.345	3.416	3.387	4.213	3.847
hsa-miR-3682-3p	3.143	2.723	2.164	2.599	2.287	NA	NA	2.712	2.87	2.599	2.583	NA	1.951	2.044	3.015	2.375	NA	NA	2.734	NA	2.683	2.126	NA	NA	NA	2.271	2.484	2.779
hsa-miR-4485	5.051	4.119	4.906	4.153	3.509	5.306	4.199	4.862	5.062	5.387	4.41	4.501	3.707	3.731	4.41	4.624	3.834	4.167	4.41	4.64	4.339	4.167	4.236	4.373	4.306	4.434	4.995	4.881
hsa-miR-139-5p	0.436	1.302	2.697	-0.324	1.749	2.779	2.427	3.143	NA	1.302	1.897	1.806	2.654	2.761	3.394	2.013	3.599	2.734	2.222	3.22	2.914	2.654	3.015	2.894	3.107	3.649	2.894	2.271
hsa-miR-500a-3p	NA	0.552	NA	-0.583	0.319	NA	1.694	2.013	NA	NA	NA	NA	1.512	1.023	NA	NA	NA	1.626	NA	NA	NA	NA	NA	NA	NA	1.157	NA	NA
hsa-miR-605	0.601	2.613	NA	0.863	0.726	NA	NA	NA	NA	NA	1.603	2.443	NA	1.527	2.287	1.659	NA	NA	NA	NA	2.182	3.096	NA	NA	NA	1.427	NA	NA
hsa-miR-223-3p	8.309	9.169	9.285	8.716	9.784	9.012	9.13	7.851	10.073	8.932	7.355	7.987	10.01	8.198	7.221	9.48	8.276	8.017	9.65	7.929	7.483	7.574	6.841	8.973	8.4	7.451	8.4	9.285
hsa-miR-4713-3p	5.32	5.724	5.92	5.406	6.119	6.175	5.468	5.614	5.492	6.841	5.594	5.577	5.983	6.138	5.936	5.217	5.983	5.846	5.746	5.577	5.638	6.041	5.92	5.427	5.514	5.539	6.041	5.868
hsa-miR-377-3p	1.806	2.197	2.858	-0.548	2.914	3.096	3.22	2.583	1.914	1.238	2.538	3.177	2.712	2.245	2.427	2.336	3.319	2.858	2.613	3.025	2.505	2.321	2.894	2.734	3.29	3.119	2.804	2.519
hsa-miR-210	4.79	5.217	5.708	4.434	5.306	5.663	5.983	4.64	4.253	4.862	5.269	4.79	4.42	5.826	5.153	3.963	5.492	4.942	5.773	5.122	4.862	4.41	4.571	5.614	4.763	4.881	5.291	5.614
hsa-miR-126-5p	2.882	3.107	2.988	3.309	3.684	2.749	4.624	4.685	3.048	2.976	3.697	3.777	4.833	4.306	3.707	4.323	4.748	4.64	2.519	4.501	4.501	4.397	4.306	5.122	4.862	5.387	3.471	3.471
hsa-miR-222-3p	1.659	1.659	2.779	1.725	2.697	3.073	3.367	3.404	2.669	NA	2.271	2.761	3.025	1.588	NA	2.112	2.954	2.222	2.964	NA	NA	1.238	NA	2.141	2.345	1.659	NA	NA
hsa-miR-1249	3.22	2.894	NA	1.32	0.982	3.731	2.894	1.258	2.654	0.708	2.942	2.823	NA	NA	NA	2.287	2.749	2.031	NA	NA	1.371	0.343	2.613	3.319	2.245	2.464	2.068	2.905
hsa-miR-199a-3p	7.851	8.557	8.357	7.961	9.527	9.13	8.897	8.766	9.329	8.198	8.439	8.816	9.091	8.716	8.557	8.716	8.897	8.243	8.597	8.357	8.679	8.973	8.439	8.597	8.557	8.897	8.309	7.987
hsa-miR-3194-5p	3.48	3.28	NA	3.428	2.624	NA	2.538	NA	3.428	2.942	3.143	1.749	NA	NA	NA	2.723	NA	1.818	1.588	NA	3.015	2.624	NA	2.427	NA	2.443	NA	1.877
hsa-miR-4462	2.098	1.29	2.013	1.023	0.845	NA	2.126	2.375	1.588	1.397	1.615	1.914	2.098	1.558	2.654	2.068	1.976	2.21	2.697	2.638	1.85	1.543	2.734	2.375	2.413	1.626	2.375	2.302
hsa-miR-4419a	4.059	4.167	4.323	3.684	4.213	NA	3.459	3.48	3.876	3.632	3.825	3.928	4.397	4.356	4.119	3.205	3.376	3.29	3.731	3.941	4.099	4.236	3.707	3.205	3.233	3.567	4.045	3.497
hsa-miR-4481	0.708	0.649	NA	0.297	0.37	2.683	NA	2.197	3.684	2.044	1.187	NA	1.694	0.425	NA	2.427	NA	NA	2.271	NA	1.157	NA	NA	1.497	2.222	0.478	NA	2.375
hsa-miR-3162-5p	8.858	8.096	8.017	7.704	7.55	7.51	8.198	7.678	8.858	8.163	8.096	8.4	7.929	8.4	7.818	8.478	7.451	7.987	7.929	8.528	8.017	8.017	8.973	8.127	8.243	7.961	8.017	8.439
hsa-miR-765	2.182	0.982	NA	2.068	1.113	NA	NA	NA	3.037	0.186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.258	NA	NA	NA	NA	NA	NA	NA
hsa-miR-301a-3p	NA	0.319	NA	NA	0.006	NA	1.897	NA	NA	NA	NA	1.897	1.337	NA	NA	NA	1.615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1246	6.466	5.269	4.685	6.39	6.138	5.122	4.464	4.613	5.196	5.062	4.385	4.748	5.368	4.543	4.323	5.196	4.434	5.153	4.995	4.385	5.368	5.32	4.448	5.468	4.339	4.995	4.881	6.119
hsa-miR-4646-5p	3.416	3.531	3.29	3.622	3.531	3.177	3.025	2.749	3.721	3.319	3.06	3.06	3.22	3.3	3.599	3.166	2.654	2.914	3.187	2.624	3.567	3.428	NA	3.096	NA	2.894	3.755	3.241
hsa-miR-194-3p	0.157	-0.147	1.737	-0.729	-0.591	2.013	1.448	1.62	0.737	0.459	1.371	1.238	1.258	0.485	2.858	0.881	2.792	1.448	1.448	3.267	1.337	0.297	2.413	2.287	2.013	1.806	1.938	1.709
hsa-miR-4701-3p	4.763	3.963	3.358	4.654	3.632	NA	3.663	3.376	3.731	2.954	3.119	3.622	3.847	2.932	3.497	3.376	2.638	2.988	4.515	3.509	3.952	3.8	3.834	3.48	2.321	2.87	3.531	2.988
hsa-miR-29b-3p	7.355	7.818	7.773	7.044	7.987	8.057	8.439	8.163	7.044	7.451	7.602	7.961	8.439	7.678	7.315	7.987	7.987	7.961	7.602	7.623	7.961	8.163	7.623	7.929	8.127	7.889	7.413	7.51
hsa-miR-4687-3p	6.443	6.633	6.119	6.968	6.339	5.891	5.936	5.427	7.315	6.203	6.339	6.498	5.724	5.638	5.983	6.223	5.577	5.936	6.841	5.936	6.32	6.498	6.294	5.663	5.468	5.868	6.119	6.564
hsa-miR-4516	10.936	10.767	10.767	11.132	10.4	10.495	10.073	10.157	10.936	10.4	10.62	10.62	9.48	9.873	10.495	10.324	10.01	9.957	10.324	9.784	10.242	10.4	10.073	9.374	9.594	9.594	10.073	10.324
hsa-miR-5739	9.873	8.858	9.091	8.858	8.439	8.163	9.48	8.357	8.932	9.13	9.012	9.329	8.597	9.285	8.528	9.253	8.096	8.973	8.528	9.65	9.169	9.091	9.957	9.056	8.932	9.056	8.858	9.212
hsa-miR-3911	4.226	3.697	3.588	4.42	3.376	2.393	3.731	2.599	3.416	3.404	3.449	3.416	3.187	3.509	3.22	3.449	2.844	3.567	3.449	3.428	3.673	3.762	3.684	3.812	3.187	3.663	3.376	3.22
hsa-miR-221-3p	1.914	1.818	2.964	2.882	2.87	3.319	3.825	3.567	2.302	0.543	2.599	2.013	3.309	2.443	2.256	2.098	3.416	2.538	2.638	NA	NA	1.709	NA	2.964	2.914	2.21	2.557	2.182
hsa-miR-200a-3p	1.725	3.599	2.761	0.708	3.963	4.292	4.176	2.57	5.291	3.387	2.954	4.385	3.459	3.721	2.914	3.195	4.668	4.292	4.045	NA	2.697	3.416	2.624	3.567	3.777	3.554	3.834	2.734
hsa-miR-99b-5p	2.834	3.567	4.019	3.28	4.624	4.64	4.019	4.226	3.863	3.358	3.731	4.253	4.187	3.649	4.373	3.497	4.79	4.019	4.084	3.812	3.707	3.742	3.632	3.834	3.649	4.199	3.684	3.254
hsa-miR-3154	2.271	2.858	2.932	2.271	2.126	NA	NA	NA	2.031	2.321	2.557	1.694	1.737	2.427	NA	1.142	1.512	NA	NA	NA	2.761	2.112	NA	NA	NA	1.818	2.087	1.951
hsa-miR-4793-5p	3.438	3.025	3.037	3.632	3.015	2.21	1.749	2.734	4.119	3.155	2.905	2.954	2.723	2.484	2.669	2.87	1.671	1.994	2.823	NA	3.073	2.749	2.57	2.098	2.112	2.654	2.336	3.086
hsa-miR-197-5p	7.044	6.865	7.111	8.766	7.111	7.254	6.902	7.254	8.648	7.623	6.841	6.803	7.413	7.221	7.678	7.51	7.355	7.044	7.51	6.968	7.385	7.221	7.451	7.182	7.315	7.044	7.987	7.961
hsa-miR-3937	5.196	4.774	4.176	4.583	4.008	NA	3.89	3.497	4.806	4.019	4.515	4.624	3.588	3.554	3.762	4.264	3.812	3.742	3.812	4.141	4.213	4.084	4.176	3.517	3.497	3.531	3.941	4.019
hsa-miR-425-5p	4.141	4.763	5.062	3.952	4.849	5.101	4.922	5.291	4.306	4.527	4.942	5.027	5.027	4.734	4.98	4.501	5.32	4.892	4.98	4.942	5.041	4.515	3.89	4.98	4.719	5.041	5.051	4.822
hsa-miR-194-5p	9.091	9.253	9.434	9.012	9.212	9.091	9.434	9.527	8.276	9.285	9.527	9.374	9.212	9.727	9.434	8.932	9.65	9.374	9.374	9.594	9.727	9.48	9.212	9.329	9.374	9.65	9.434	9.329
hsa-miR-5585-3p	3.195	0.881	NA	3.331	2.804	NA	1.864	1.694	2.954	-0.062	NA	NA	NA	0.563	NA	1.864	NA	2.098	NA	NA	2.031	2.302	NA	1.914	NA	2.393	NA	NA
hsa-miR-29c-5p	1.788	1.976	2.792	0.478	2.098	2.905	3.61	3.387	2.182	1.914	2.834	2.882	3.641	3.267	2.932	2.57	3.952	3.755	2.669	3.309	2.557	3.267	3.037	4.033	4.059	3.8	3.086	2.823
hsa-miR-134	4.892	4.654	4.187	4.881	4.226	3.577	3.903	3.777	5.826	3.825	4.277	4.484	3.8	3.622	3.777	4.292	3.98	3.731	4.119	3.731	3.863	4.099	4.019	3.599	3.554	3.641	3.847	4.277
hsa-miR-6087	9.527	9.329	8.679	10.495	8.127	8.439	7.929	8.017	9.957	8.897	8.528	8.528	7.889	8.017	8.198	8.816	7.773	8.096	8.816	8.309	8.766	8.4	8.816	8.198	8.096	8.096	8.597	8.897
hsa-miR-6134	NA	2.427	NA	-0.434	2.538	NA	NA	NA	NA	1.806	1.238	NA	NA	2.734	2.345	NA	2.613	2.613	1.877	NA	NA	2.182	NA	NA	NA	0.617	2.044	2.683
hsa-miR-6126	4.906	4.553	4.543	5.062	4.277	4.176	4.253	3.928	3.847	4.306	4.484	4.448	4.153	4.434	4.141	4.176	4.033	4.199	4.306	4.464	4.323	4.583	4.806	4.008	4.141	4.019	4.187	4.356
hsa-miR-4800-5p	4.045	4.226	3.599	4.543	4.385	3.331	3.449	3.428	5.251	4.292	3.542	3.459	3.673	3.497	3.48	3.788	3.096	3.649	4.373	2.905	3.89	3.928	3.404	3.61	2.894	3.599	3.542	4.187
hsa-miR-4655-3p	3.61	2.557	NA	2.834	0.77	NA	NA	NA	NA	1.694	2.779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	NA	NA	NA	NA	NA	NA
hsa-miR-4442	5.724	5.638	5.335	6.041	5.514	5.724	5.041	5.082	6.803	5.708	5.291	5.335	5.306	5.427	5.577	5.229	5.269	5.269	5.32	5.153	5.539	5.427	5.352	5.136	5.122	5.101	5.557	5.577
hsa-miR-320d	5.92	6.138	6.606	5.368	6.362	6.774	6.041	6.606	6.119	6.657	6.24	6.339	6.272	6.24	6.774	5.891	6.414	6.339	6.657	6.657	6.689	6.088	6.119	6.339	6.203	6.339	6.719	6.32
hsa-miR-1236-5p	3.187	3.309	3.143	2.964	3.267	2.197	2.792	3.015	3.649	3.588	3.096	2.905	2.697	3.06	3.096	2.792	2.87	3.107	3.119	NA	2.894	3.015	NA	2.697	NA	2.638	3.187	3.143
hsa-miR-429	NA	2.538	NA	NA	1.788	3.267	2.914	NA	4.226	2.087	1.302	3.073	NA	1.976	NA	NA	3.309	3.025	2.905	NA	NA	NA	NA	1.29	2.302	2.197	3.015	NA
hsa-miR-4317	NA	0.485	NA	-0.614	1.938	NA	1.877	1.671	0.965	0.478	1.427	NA	2.126	1.32	NA	NA	2.141	1.588	NA	NA	NA	0.945	NA	1.397	NA	0.881	NA	NA
hsa-miR-152	2.792	3.497	3.863	2.557	3.517	3.963	4.236	3.994	2.749	3.233	3.812	4.073	4.167	4.084	3.721	3.3	4.119	4.373	3.721	3.742	3.387	3.649	3.205	4.187	4.153	4.42	3.903	3.928
hsa-miR-4466	7.281	6.529	6.414	7.315	6.39	6.154	6.414	5.962	6.272	6.088	6.744	6.443	5.638	5.846	6.041	6.498	5.962	6.223	5.936	6.064	5.891	6.223	6.529	5.594	5.802	5.638	5.983	6.272
hsa-miR-6068	6.175	5.92	5.082	6.529	5.136	5.387	5.153	5.136	5.352	4.583	5.387	5.468	5.062	5.062	5.196	5.577	4.881	4.922	5.306	5.514	5.45	5.557	5.962	5.306	4.892	5.724	5.153	5.136
hsa-miR-24-1-5p	NA	0.425	NA	NA	-0.586	NA	1.737	NA	NA	0.436	2.413	2.287	NA	1.603	NA	1.302	2.068	2.359	1.615	2.988	2.197	0.737	NA	2.197	2.427	1.737	1.994	2.413
hsa-miR-6086	3.622	3.404	3.22	3.8	3.319	3.309	2.932	3.107	3.903	3.641	2.932	2.988	3.048	3.096	3.29	3.241	2.779	2.87	3.404	NA	3.542	3.309	NA	3.015	3.086	3.254	3.309	3.438
hsa-miR-4763-3p	8.439	8.198	7.413	7.55	7.929	7.818	7.413	7.221	7.654	7.254	7.773	7.929	6.689	7.111	7.254	7.818	7.182	7.139	7.139	7.139	6.865	7.139	7.704	6.719	7.139	7.139	7.281	7.355
hsa-let-7b-5p	10.073	10.4	10.324	9.873	10.936	10.767	10.242	10.4	10.495	10.242	10.242	10.4	10.495	10.62	10.4	9.873	10.324	10.01	10.62	10.767	10.4	10.495	10.01	10.495	10.157	10.767	10.62	10.495
hsa-miR-1185-1-3p	4.153	4.141	3.762	4.13	3.428	2.583	3.599	3.29	4.008	3.459	4.141	3.963	3.131	3.195	3.107	3.903	3.22	3.471	3.8	3.903	3.622	3.876	4.119	3.416	3.319	3.449	3.48	3.542
hsa-miR-1234-3p	3.345	3.195	3.903	4.213	3.497	3.98	3.241	3.742	3.241	3.3	3.28	3.28	3.358	3.086	3.663	2.988	3.554	3.241	3.963	3.387	3.517	3.143	3.825	3.28	3.599	3.731	3.812	3.367
hsa-miR-4690-5p	2.197	1.32	NA	2.761	1.467	NA	NA	NA	1.897	0.006	NA	NA	NA	0.383	NA	NA	NA	NA	1.725	NA	1.113	0.649	NA	NA	NA	0.552	NA	NA
hsa-miR-887	3.107	2.57	2.068	4.141	2.976	NA	NA	0.965	3.3	2.914	2.505	0.965	2.823	2.287	2.112	3.233	NA	2.256	2.779	NA	0.77	1.645	NA	NA	NA	0.186	2.823	3.697
hsa-miR-376a-3p	3.048	3.825	4.073	3.29	4.748	4.527	4.654	4.306	2.336	3.119	3.903	4.323	4.264	4.42	4.253	3.941	5.352	4.484	3.788	3.707	4.397	4.543	3.376	4.583	4.79	4.624	4.033	3.663
hsa-miR-125a-3p	5.802	5.368	5.136	7.077	4.719	4.323	4.41	4.6	4.464	5.217	5.062	4.822	4.448	4.862	4.906	5.557	4.019	4.862	4.64	4.881	5.962	5.269	4.849	5.368	4.701	5.176	5.196	5.387
hsa-miR-4470	NA	0.37	NA	1.877	0.863	NA	NA	NA	NA	0.863	NA	NA	1.371	2.068	NA	1.187	NA	NA	NA	NA	1.32	0.495	NA	NA	NA	NA	NA	NA
hsa-miR-494	9.056	7.773	8.276	9.212	7.734	10.936	8.163	9.65	8.163	9.957	8.716	8.127	9.13	8.243	8.897	10.01	8.528	8.766	7.961	8.973	8.309	7.818	9.13	8.648	9.012	8.198	8.198	9.091
hsa-miR-1973	4.774	2.905	3.812	3.697	2.271	4.833	3.649	4.763	3.331	2.464	3.577	3.166	2.942	3.107	4.033	3.577	3.577	4.111	2.999	3.471	2.87	3.554	4.187	3.928	3.994	3.98	4.277	3.376
hsa-miR-2861	7.987	7.451	6.865	8.057	6.564	6.443	6.689	6.657	6.932	6.744	7.003	6.968	6.339	6.606	6.865	6.841	6.203	6.39	6.902	7.003	7.111	6.902	7.281	6.443	6.362	6.689	6.744	6.744
hsa-miR-1288	2.683	3.319	3.345	2.345	3.61	3.755	3.3	3.309	3.131	4.199	3.367	3.048	3.438	3.663	3.531	2.583	3.471	3.497	3.459	3.577	3.107	3.542	3.438	2.761	3.06	3.025	3.721	3.3
hsa-miR-513b	4.084	3.471	4.153	3.928	3.649	4.008	3.387	4.527	3.663	5.746	3.788	3.98	4.292	3.641	4.543	5.101	3.742	3.8	3.762	4.527	4.073	3.89	4.008	3.825	4.434	3.825	4.226	4.176
hsa-miR-224-5p	NA	1.897	NA	1.85	3.599	4.187	3.632	3.61	3.531	0.446	4.434	4.527	3.684	3.428	NA	NA	4.099	NA	4.008	NA	NA	NA	NA	NA	NA	0.965	2.245	NA
hsa-miR-4291	4.306	4.187	4.084	5.802	4.448	3.952	4.277	4.464	3.367	3.542	4.13	4.434	4.613	4.373	4.464	3.917	4.306	4.187	4.059	4.356	4.484	4.654	4.111	4.464	4.187	4.306	4.236	3.876
hsa-miR-4449	3.086	1.645	2.197	0.118	0.945	2.734	2.712	2.638	1.749	0.21	2.336	2.031	1.864	1.659	2.21	1.951	2.624	2.302	1.914	2.894	2.141	1.527	NA	2.044	2.613	1.527	2.427	1.864
hsa-miR-150-3p	4.448	4.373	3.89	4.059	3.345	3.387	3.812	3.941	3.673	4.073	4.96	3.917	3.086	3.331	3.166	5.041	3.673	3.673	3.917	4.111	3.588	3.903	4.527	3.376	3.309	3.497	3.319	3.554
hsa-miR-4478	3.497	3.048	3.205	3.673	3.096	4.073	2.964	3.963	4.41	4.323	3.187	3.187	3.542	3.345	3.847	4.719	3.06	2.954	3.3	3.096	3.195	3.367	3.394	3.438	3.762	3.3	3.649	3.812
hsa-miR-5001-5p	6.02	5.32	4.942	6.414	4.515	4.543	4.292	4.668	4.515	4.543	4.995	4.942	4.64	4.668	4.849	4.96	4.187	4.176	4.613	4.922	5.122	4.881	4.862	4.849	4.41	4.806	4.464	4.654
hsa-miR-4647	1.187	NA	NA	2.749	0.356	NA	NA	1.951	2.375	4.167	NA	NA	2.068	1.113	2.638	3.641	NA	NA	NA	NA	NA	1.603	NA	1.558	NA	0.563	NA	2.197
hsa-miR-4286	10.767	10.073	10.242	9.594	10.073	8.932	10.936	8.897	9.527	10.01	10.4	10.324	10.4	10.936	9.957	10.242	10.495	11.333	10.495	10.936	10.62	10.936	11.563	10.936	11.132	10.936	11.132	11.132
hsa-miR-4672	3.98	3.622	4.059	5.335	3.777	3.917	4.099	4.701	3.755	3.731	3.632	3.663	4.111	4.213	4.763	4.167	4.176	3.98	4.141	3.917	4.199	4.019	4.277	4.397	4.543	4.464	4.397	4.226
hsa-miR-5703	2.613	2.443	NA	5.153	3.928	3.707	NA	1.448	5.891	4.42	2.57	NA	3.649	NA	NA	4.668	NA	2.697	3.015	NA	NA	NA	NA	1.09	3.025	NA	NA	4.806
hsa-miR-6717-5p	5.041	5.577	5.663	5.176	6.294	4.862	5.251	5.45	5.051	6.32	5.468	5.196	5.826	6.175	5.92	5.014	5.826	5.802	5.514	5.406	5.427	5.983	5.638	5.229	5.32	5.427	5.868	5.594
hsa-miR-1233-1-5p	4.881	4.583	4.881	3.963	4.527	3.531	5.577	4.356	4.236	4.099	5.136	5.368	5.352	5.708	4.64	4.806	4.501	5.335	4.501	5.773	4.833	5.101	6.041	5.32	5.638	5.051	4.323	5.45
hsa-miR-125b-2-3p	2.599	2.792	2.484	2.583	2.823	2.443	3.143	2.068	1.543	1.467	3.241	2.302	3.073	3.376	3.755	2.164	3.3	3.319	2.321	3.233	3.037	3.404	3.577	3.404	3.394	3.177	2.932	2.654
hsa-miR-371a-5p	4.822	4.153	4.099	4.685	3.834	2.141	4.008	3.509	4.323	3.721	4.099	4.553	3.663	3.788	3.812	3.994	3.267	3.762	4.073	4.226	4.111	3.941	4.339	3.663	3.742	3.588	3.917	4.059
hsa-miR-664b-5p	4.701	2.302	2.031	-0.309	2.932	2.321	1.588	NA	1.737	1.427	2.068	1.877	NA	1.258	NA	NA	NA	2.375	1.659	3.073	2.654	1.671	2.761	2.087	NA	1.302	3.143	NA
hsa-miR-128	1.951	3.119	3.119	2.894	3.29	3.641	3.777	3.952	2.112	1.877	3.777	3.086	2.505	3.588	2.976	2.599	3.777	2.834	2.988	3.331	2.834	2.976	NA	3.98	3.632	3.707	2.914	2.942
hsa-miR-892b	2.245	3.205	3.319	2.164	3.663	2.999	3.073	3.155	2.914	3.903	3.254	2.932	3.567	3.697	3.509	2.443	3.48	3.48	3.29	3.394	2.976	3.387	3.155	2.87	2.779	2.954	3.497	3.331
hsa-miR-126-3p	8.057	8.932	8.816	8.357	9.285	9.212	8.716	9.285	8.309	8.816	8.648	8.897	9.253	9.012	9.169	8.897	9.212	9.012	9.012	9.212	9.594	9.253	8.932	9.212	8.973	9.434	9.012	8.766
hsa-miR-218-5p	NA	0.356	NA	NA	1.671	2.669	1.806	1.877	1.976	NA	NA	1.603	2.858	1.21	NA	1.258	2.894	1.558	NA	NA	NA	0.337	NA	1.302	NA	2.823	NA	NA
hsa-miR-135a-3p	3.509	2.954	2.683	3.358	2.954	4.571	2.287	3.554	3.994	4.654	3.531	2.697	3.331	2.013	2.792	4.774	2.599	3.254	2.505	3.143	1.737	1.659	3.762	2.359	3.542	2.112	2.734	3.98
