	US10063773_254606410403_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606411109_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_2 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410403_S01_miRNA_107_Sep09_2_3 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_4 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_4 - 1
hsa-miR-148a-3p	8.973	8.716	8.858	8.096	8.528	8.766	8.858	8.816	7.678	9.374	9.13	8.858	9.374	9.784	9.48	9.527	9.873	9.873	8.858	8.858	9.212	9.727	9.253	10.157	9.957	10.324	9.527	9.527
hsa-miR-19a-3p	5.291	5.962	5.868	4.226	5.802	5.514	6.498	5.868	4.719	5.492	6.119	5.962	6.719	6.657	5.681	6.339	6.606	6.841	5.802	6.32	6.294	6.657	6.362	6.865	7.077	6.902	6.272	6.498
hsa-miR-4433-5p	3.233	2.87	3.195	1.626	2.321	3.8	3.394	2.834	2.792	2.669	3.155	3.131	3.195	3.119	3.28	2.683	3.241	3.22	3.025	3.531	3.155	2.834	4.253	3.697	3.459	3.06	3.394	3.28
hsa-miR-25-3p	6.339	6.744	6.968	6.294	6.841	7.385	6.865	7.281	6.689	6.803	6.803	6.841	7.139	6.803	6.633	6.39	6.932	6.902	6.865	6.719	6.803	6.564	6.272	7.003	6.803	6.774	6.902	6.865
hsa-miR-200b-3p	3.847	5.196	4.42	3.863	5.217	5.962	5.229	4.543	6.968	4.833	4.892	5.614	4.922	5.101	5.176	4.41	5.708	5.291	5.468	4.033	4.6	4.906	3.48	4.881	4.96	4.685	5.539	4.543
hsa-miR-3135b	6.203	4.98	4.515	4.96	4.881	4.79	4.734	3.98	4.613	4.236	4.008	4.64	4.033	4.264	4.448	4.527	3.195	4.464	4.96	4.253	5.251	5.153	4.734	4.734	3.471	4.654	4.448	3.89
hsa-miR-1305	4.862	5.45	5.45	4.668	5.663	5.557	4.995	5.101	4.922	6.138	5.176	4.995	5.427	5.663	5.514	4.734	5.45	5.514	5.136	5.176	5.196	5.594	5.291	4.748	5.014	5.082	5.45	5.229
hsa-miR-192-5p	9.784	9.957	10.073	9.727	9.727	10.01	9.957	10.495	9.374	10.073	10.324	10.01	10.324	10.242	10.157	9.784	10.62	10.242	10.01	10.62	10.767	10.324	9.873	10.62	10.767	10.4	10.495	10.4
hsa-miR-628-3p	NA	1.543	2.538	1.113	1.21	NA	NA	2.393	NA	NA	1.588	1.497	3.107	3.025	3.131	NA	1.914	1.113	NA	NA	2.905	2.519	NA	0.684	NA	2.098	2.858	NA
hsa-miR-17-3p	1.671	2.804	3.155	0.485	2.749	3.29	3.155	3.267	2.068	2.336	3.438	3.015	3.205	4.033	3.542	2.804	4.167	3.941	2.942	3.554	3.438	3.777	3.267	4.356	3.876	4.176	3.577	3.387
hsa-miR-4454	16.415	16.415	16.415	16.415	16.415	16.415	16.822	16.415	16.415	16.415	16.415	16.822	16.415	16.415	16.415	16.822	16.415	16.822	16.415	16.822	16.415	16.415	17.127	16.822	16.822	16.415	16.415	16.822
hsa-miR-4428	5.335	4.253	4.434	4.862	4.236	4.892	4.13	5.406	4.339	5.014	4.306	4.397	4.434	4.448	5.101	5.051	4.701	4.515	4.397	4.277	4.543	4.763	4.356	4.543	4.668	4.748	4.79	4.6
hsa-miR-362-3p	1.371	2.336	2.57	0.268	2.683	3.195	3.641	3.531	1.788	1.371	2.484	2.779	2.779	1.877	2.538	2.222	3.394	3.367	2.345	3.177	2.21	1.877	NA	3.241	3.073	3.394	2.723	2.287
hsa-miR-3945	2.519	0.103	NA	3.376	-0.563	NA	NA	NA	3.812	2.583	NA	NA	NA	NA	NA	2.858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.938
