"","miRNA","mRNA","pearson-cor","p-value"
"125","hsa-miR-215","196","-0.354376115145266","0.349417319696699"
"126","hsa-miR-215","197","0.758952929274268","0.0177206234197139"
"127","hsa-miR-215","199","-0.386417338095545","0.304287238650613"
"128","hsa-miR-215","202","0.455481906923607","0.217922294902553"
"129","hsa-miR-215","203","-0.225726903042719","0.559233317658163"
"130","hsa-miR-215","204","-0.0834372514253212","0.831006058279502"
"131","hsa-miR-215","205","-0.295981154152044","0.439334158524377"
"132","hsa-miR-215","207","0.319689551822771","0.401681123799059"
"133","hsa-miR-215","208","0.826117570283037","0.00606228430379345"
"134","hsa-miR-215","210","0.249174162791793","0.517922042193991"
"135","hsa-miR-215","211","0.180084935298445","0.642904582140448"
"136","hsa-miR-215","212","-0.737138389876277","0.0234451217996221"
"137","hsa-miR-215","213","0.0571089534756389","0.883974331138731"
"138","hsa-miR-215","214","-0.253304084660786","0.510774128979182"
"139","hsa-miR-215","215","0.445620255221106","0.229315030870566"
"140","hsa-miR-215","216","0.349526248651836","0.356516044134262"
"141","hsa-miR-215","217","0.373703181890356","0.321823137243987"
"142","hsa-miR-215","218","-0.837582724826858","0.0048317388982716"
"143","hsa-miR-215","219","-0.10063403336458","0.796712304432198"
"144","hsa-miR-215","220","-0.560618324360512","0.116371239824077"
"145","hsa-miR-215","221","0.520396791577022","0.150916899240913"
"146","hsa-miR-215","222","0.188796896138061","0.626628055424423"
"147","hsa-miR-215","223","0.133671066136046","0.731709729400737"
"148","hsa-miR-215","224","0.334711965041848","0.378623717641215"
"149","hsa-miR-215","226","-0.446648047152253","0.228112854466913"
"150","hsa-miR-215","229","0.540154601327678","0.133284589339388"
"151","hsa-miR-215","230","0.575228248695205","0.105127663954622"
"152","hsa-miR-215","231","-0.597208825095157","0.0894982635300098"
"153","hsa-miR-215","240","-0.610331989885813","0.0808921093798974"
"154","hsa-miR-215","241","-0.48502085285678","0.185706885904732"
"155","hsa-miR-215","242","0.0466853763736408","0.90506590226453"
"156","hsa-miR-215","244","-0.806223430067731","0.008675764315064"
"157","hsa-miR-215","245","0.153645791091663","0.693087727086942"
"158","hsa-miR-215","246","0.0158648750091983","0.967687120151481"
"159","hsa-miR-215","247","0.273848055461759","0.475819406605847"
"160","hsa-miR-215","248","-0.0728396295379985","0.852266832607998"
"161","hsa-miR-215","249","0.0202264820833978","0.958808994322607"
"162","hsa-miR-215","250","0.52974614347897","0.142413172390882"
"163","hsa-miR-215","251","-0.0999376883796191","0.798095487629799"
"164","hsa-miR-215","257","-0.660188200532442","0.0529626388699375"
"165","hsa-miR-215","258","0.671127105961282","0.0478047288789851"
"166","hsa-miR-215","259","0.670846075359008","0.0479330358175025"
"167","hsa-miR-215","262","-0.252276507851821","0.512548917146732"
"168","hsa-miR-215","265","0.416198784684497","0.265178131145724"
"169","hsa-miR-215","267","0.207856102290668","0.591509501221619"
"170","hsa-miR-215","268","0.284598412696498","0.457941678522615"
"171","hsa-miR-215","269","0.519117346136446","0.152103049689867"
"172","hsa-miR-215","270","-0.260398581750701","0.498588529298825"
"173","hsa-miR-215","271","0.484630978464471","0.186113356073496"
"174","hsa-miR-215","272","-0.207975788755712","0.591291180427366"
"175","hsa-miR-215","273","0.845686133183863","0.00407318515966413"
"176","hsa-miR-215","274","0.138096423371367","0.723104907591605"
"177","hsa-miR-215","275","0.814267073294923","0.00754234989496238"
"178","hsa-miR-215","278","0.721611441445018","0.0281861390165266"
"179","hsa-miR-215","283","0.457174740702267","0.215998608129659"
"180","hsa-miR-215","284","0.629319051106281","0.0693798118241696"
"181","hsa-miR-215","285","0.247222439874708","0.521313724709983"
"182","hsa-miR-215","286","0.26026713776013","0.49881321467044"
"183","hsa-miR-215","288","0.349291247342639","0.356861768295252"
"184","hsa-miR-215","290","0.574620287785082","0.105581836363858"
